,Survived,Name
443,1,"Reynaldo, Ms. Encarnacion"
444,1,"Johannesen-Bratthammer, Mr. Bernt"
445,1,"Dodge, Master. Washington"
446,1,"Mellinger, Miss. Madeleine Violet"
447,1,"Seward, Mr. Frederic Kimber"
448,1,"Baclini, Miss. Marie Catherine"
449,1,"Peuchen, Major. Arthur Godfrey"
450,0,"West, Mr. Edwy Arthur"
451,0,"Hagland, Mr. Ingvald Olai Olsen"
452,0,"Foreman, Mr. Benjamin Laventall"
453,1,"Goldenberg, Mr. Samuel L"
454,0,"Peduzzi, Mr. Joseph"
455,1,"Jalsevac, Mr. Ivan"
456,0,"Millet, Mr. Francis Davis"
457,1,"Kenyon, Mrs. Frederick R (Marion)"
458,1,"Toomey, Miss. Ellen"
459,0,"O'Connor, Mr. Maurice"
460,1,"Anderson, Mr. Harry"
461,0,"Morley, Mr. William"
462,0,"Gee, Mr. Arthur H"
463,0,"Milling, Mr. Jacob Christian"
464,0,"Maisner, Mr. Simon"
465,0,"Goncalves, Mr. Manuel Estanslas"
466,0,"Campbell, Mr. William"
467,0,"Smart, Mr. John Montgomery"
468,0,"Scanlan, Mr. James"
469,1,"Baclini, Miss. Helene Barbara"
470,0,"Keefe, Mr. Arthur"
471,0,"Cacic, Mr. Luka"
472,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)"
473,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)"
474,0,"Strandberg, Miss. Ida Sofia"
475,0,"Clifford, Mr. George Quincy"
476,0,"Renouf, Mr. Peter Henry"
477,0,"Braund, Mr. Lewis Richard"
478,0,"Karlsson, Mr. Nils August"
479,1,"Hirvonen, Miss. Hildur E"
480,0,"Goodwin, Master. Harold Victor"
481,0,"Frost, Mr. Anthony Wood ""Archie"""
482,0,"Rouse, Mr. Richard Henry"
483,1,"Turkula, Mrs. (Hedwig)"
484,1,"Bishop, Mr. Dickinson H"
485,0,"Lefebre, Miss. Jeannie"
486,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)"
487,0,"Kent, Mr. Edward Austin"
488,0,"Somerton, Mr. Francis William"
489,1,"Coutts, Master. Eden Leslie ""Neville"""
490,0,"Hagland, Mr. Konrad Mathias Reiersen"
491,0,"Windelov, Mr. Einar"
492,0,"Molson, Mr. Harry Markland"
493,0,"Artagaveytia, Mr. Ramon"
494,0,"Stanley, Mr. Edward Roland"
495,0,"Yousseff, Mr. Gerious"
496,1,"Eustis, Miss. Elizabeth Mussey"
497,0,"Shellard, Mr. Frederick William"
498,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
499,0,"Svensson, Mr. Olof"
500,0,"Calic, Mr. Petar"
501,0,"Canavan, Miss. Mary"
502,0,"O'Sullivan, Miss. Bridget Mary"
503,0,"Laitinen, Miss. Kristina Sofia"
504,1,"Maioni, Miss. Roberta"
505,0,"Penasco y Castellana, Mr. Victor de Satode"
506,1,"Quick, Mrs. Frederick Charles (Jane Richards)"
507,1,"Bradley, Mr. George (""George Arthur Brayton"")"
508,0,"Olsen, Mr. Henry Margido"
509,1,"Lang, Mr. Fang"
510,1,"Daly, Mr. Eugene Patrick"
511,0,"Webber, Mr. James"
512,1,"McGough, Mr. James Robert"
513,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)"
514,0,"Coleff, Mr. Satio"
515,0,"Walker, Mr. William Anderson"
516,1,"Lemore, Mrs. (Amelia Milley)"
517,0,"Ryan, Mr. Patrick"
518,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"
519,0,"Pavlovic, Mr. Stefo"
520,1,"Perreault, Miss. Anne"
521,0,"Vovk, Mr. Janko"
522,0,"Lahoud, Mr. Sarkis"
523,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
524,0,"Kassem, Mr. Fared"
525,0,"Farrell, Mr. James"
526,1,"Ridsdale, Miss. Lucy"
527,0,"Farthing, Mr. John"
528,0,"Salonen, Mr. Johan Werner"
529,0,"Hocking, Mr. Richard George"
530,1,"Quick, Miss. Phyllis May"
531,0,"Toufik, Mr. Nakli"
532,0,"Elias, Mr. Joseph Jr"
533,1,"Peter, Mrs. Catherine (Catherine Rizk)"
534,0,"Cacic, Miss. Marija"
535,1,"Hart, Miss. Eva Miriam"
536,0,"Butt, Major. Archibald Willingham"
537,1,"LeRoy, Miss. Bertha"
538,0,"Risien, Mr. Samuel Beard"
539,1,"Frolicher, Miss. Hedwig Margaritha"
540,1,"Crosby, Miss. Harriet R"
541,0,"Andersson, Miss. Ingeborg Constanzia"
542,0,"Andersson, Miss. Sigrid Elisabeth"
543,1,"Beane, Mr. Edward"
544,0,"Douglas, Mr. Walter Donald"
545,0,"Nicholson, Mr. Arthur Ernest"
546,1,"Beane, Mrs. Edward (Ethel Clarke)"
547,1,"Padro y Manent, Mr. Julian"
548,0,"Goldsmith, Mr. Frank John"
549,1,"Davies, Master. John Morgan Jr"
550,1,"Thayer, Mr. John Borland Jr"
551,0,"Sharp, Mr. Percival James R"
552,0,"O'Brien, Mr. Timothy"
553,1,"Leeni, Mr. Fahim (""Philip Zenni"")"
554,1,"Ohman, Miss. Velin"
555,0,"Wright, Mr. George"
556,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"
557,0,"Robbins, Mr. Victor"
558,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)"
559,1,"de Messemaeker, Mrs. Guillaume Joseph (Emma)"
560,0,"Morrow, Mr. Thomas Rowan"
561,0,"Sivic, Mr. Husein"
562,0,"Norman, Mr. Robert Douglas"
563,0,"Simmons, Mr. John"
564,0,"Meanwell, Miss. (Marion Ogden)"
565,0,"Davies, Mr. Alfred J"
566,0,"Stoytcheff, Mr. Ilia"
567,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)"
568,0,"Doharr, Mr. Tannous"
569,1,"Jonsson, Mr. Carl"
570,1,"Harris, Mr. George"
571,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
572,1,"Flynn, Mr. John Irwin (""Irving"")"
573,1,"Kelly, Miss. Mary"
574,0,"Rush, Mr. Alfred George John"
575,0,"Patchett, Mr. George"
576,1,"Garside, Miss. Ethel"
577,1,"Silvey, Mrs. William Baird (Alice Munger)"
578,0,"Caram, Mrs. Joseph (Maria Elias)"
579,1,"Jussila, Mr. Eiriik"
580,1,"Christy, Miss. Julie Rachel"
581,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)"
582,0,"Downton, Mr. William James"
583,0,"Ross, Mr. John Hugo"
584,0,"Paulner, Mr. Uscher"
585,1,"Taussig, Miss. Ruth"
586,0,"Jarvis, Mr. John Denzil"
587,1,"Frolicher-Stehli, Mr. Maxmillian"
588,0,"Gilinski, Mr. Eliezer"
589,0,"Murdlin, Mr. Joseph"
590,0,"Rintamaki, Mr. Matti"
591,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)"
592,0,"Elsbury, Mr. William James"
593,0,"Bourke, Miss. Mary"
594,0,"Chapman, Mr. John Henry"
595,0,"Van Impe, Mr. Jean Baptiste"
596,1,"Leitch, Miss. Jessie Wills"
597,0,"Johnson, Mr. Alfred"
598,0,"Boulos, Mr. Hanna"
599,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")"
600,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)"
601,0,"Slabenoff, Mr. Petco"
602,0,"Harrington, Mr. Charles H"
603,0,"Torber, Mr. Ernst William"
604,1,"Homer, Mr. Harry (""Mr E Haven"")"
605,0,"Lindell, Mr. Edvard Bengtsson"
606,0,"Karaic, Mr. Milan"
607,1,"Daniel, Mr. Robert Williams"
608,1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)"
609,1,"Shutes, Miss. Elizabeth W"
610,0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)"
611,0,"Jardin, Mr. Jose Neto"
612,1,"Murphy, Miss. Margaret Jane"
613,0,"Horgan, Mr. John"
614,0,"Brocklebank, Mr. William Alfred"
615,1,"Herman, Miss. Alice"
616,0,"Danbom, Mr. Ernst Gilbert"
617,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)"
618,1,"Becker, Miss. Marion Louise"
619,0,"Gavey, Mr. Lawrence"
620,0,"Yasbeck, Mr. Antoni"
621,1,"Kimball, Mr. Edwin Nelson Jr"
622,1,"Nakid, Mr. Sahid"
623,0,"Hansen, Mr. Henry Damsgaard"
624,0,"Bowen, Mr. David John ""Dai"""
625,0,"Sutton, Mr. Frederick"
626,0,"Kirkland, Rev. Charles Leonard"
627,1,"Longley, Miss. Gretchen Fiske"
628,0,"Bostandyeff, Mr. Guentcho"
629,0,"O'Connell, Mr. Patrick D"
630,1,"Barkworth, Mr. Algernon Henry Wilson"
631,0,"Lundahl, Mr. Johan Svensson"
632,1,"Stahelin-Maeglin, Dr. Max"
633,0,"Parr, Mr. William Henry Marsh"
634,0,"Skoog, Miss. Mabel"
635,1,"Davis, Miss. Mary"
636,0,"Leinonen, Mr. Antti Gustaf"
637,0,"Collyer, Mr. Harvey"
638,0,"Panula, Mrs. Juha (Maria Emilia Ojala)"
639,0,"Thorneycroft, Mr. Percival"
640,0,"Jensen, Mr. Hans Peder"
641,1,"Sagesser, Mlle. Emma"
642,0,"Skoog, Miss. Margit Elizabeth"
643,1,"Foo, Mr. Choong"
644,1,"Baclini, Miss. Eugenie"
645,1,"Harper, Mr. Henry Sleeper"
646,0,"Cor, Mr. Liudevit"
647,1,"Simonius-Blumer, Col. Oberst Alfons"
648,0,"Willey, Mr. Edward"
649,1,"Stanley, Miss. Amy Zillah Elsie"
650,0,"Mitkoff, Mr. Mito"
651,1,"Doling, Miss. Elsie"
652,0,"Kalvik, Mr. Johannes Halvorsen"
653,1,"O'Leary, Miss. Hanora ""Norah"""
654,0,"Hegarty, Miss. Hanora ""Nora"""
655,0,"Hickman, Mr. Leonard Mark"
656,0,"Radeff, Mr. Alexander"
657,0,"Bourke, Mrs. John (Catherine)"
658,0,"Eitemiller, Mr. George Floyd"
659,0,"Newell, Mr. Arthur Webster"
660,1,"Frauenthal, Dr. Henry William"
661,0,"Badt, Mr. Mohamed"
662,0,"Colley, Mr. Edward Pomeroy"
663,0,"Coleff, Mr. Peju"
664,1,"Lindqvist, Mr. Eino William"
665,0,"Hickman, Mr. Lewis"
666,0,"Butler, Mr. Reginald Fenton"
667,0,"Rommetvedt, Mr. Knud Paust"
668,0,"Cook, Mr. Jacob"
669,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)"
670,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)"
671,0,"Davidson, Mr. Thornton"
672,0,"Mitchell, Mr. Henry Michael"
673,1,"Wilhelms, Mr. Charles"
674,0,"Watson, Mr. Ennis Hastings"
675,0,"Edvardsson, Mr. Gustaf Hjalmar"
676,0,"Sawyer, Mr. Frederick Charles"
677,1,"Turja, Miss. Anna Sofia"
678,0,"Goodwin, Mrs. Frederick (Augusta Tyler)"
679,1,"Cardeza, Mr. Thomas Drake Martinez"
680,0,"Peters, Miss. Katie"
681,1,"Hassab, Mr. Hammad"
682,0,"Olsvigen, Mr. Thor Anderson"
683,0,"Goodwin, Mr. Charles Edward"
684,0,"Brown, Mr. Thomas William Solomon"
685,0,"Laroche, Mr. Joseph Philippe Lemercier"
686,0,"Panula, Mr. Jaako Arnold"
687,0,"Dakic, Mr. Branko"
688,0,"Fischer, Mr. Eberhard Thelander"
689,1,"Madill, Miss. Georgette Alexandra"
690,1,"Dick, Mr. Albert Adrian"
691,1,"Karun, Miss. Manca"
692,1,"Lam, Mr. Ali"
693,0,"Saad, Mr. Khalil"
694,0,"Weir, Col. John"
695,0,"Chapman, Mr. Charles Henry"
696,0,"Kelly, Mr. James"
697,1,"Mullens, Miss. Katherine ""Katie"""
698,0,"Thayer, Mr. John Borland"
699,0,"Humblen, Mr. Adolf Mathias Nicolai Olsen"
700,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
701,1,"Silverthorne, Mr. Spencer Victor"
702,0,"Barbara, Miss. Saiide"
703,0,"Gallagher, Mr. Martin"
704,0,"Hansen, Mr. Henrik Juul"
705,0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")"
706,1,"Kelly, Mrs. Florence ""Fannie"""
707,1,"Calderhead, Mr. Edward Pennington"
708,1,"Cleaver, Miss. Alice"
709,1,"Moubarek, Master. Halim Gonios (""William George"")"
710,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"
711,0,"Klaber, Mr. Herman"
712,1,"Taylor, Mr. Elmer Zebley"
713,0,"Larsson, Mr. August Viktor"
714,0,"Greenberg, Mr. Samuel"
715,0,"Soholt, Mr. Peter Andreas Lauritz Andersen"
716,1,"Endres, Miss. Caroline Louise"
717,1,"Troutt, Miss. Edwina Celia ""Winnie"""
718,0,"McEvoy, Mr. Michael"
719,0,"Johnson, Mr. Malkolm Joackim"
720,1,"Harper, Miss. Annie Jessie ""Nina"""
721,0,"Jensen, Mr. Svend Lauritz"
722,0,"Gillespie, Mr. William Henry"
723,0,"Hodges, Mr. Henry Price"
724,1,"Chambers, Mr. Norman Campbell"
725,0,"Oreskovic, Mr. Luka"
726,1,"Renouf, Mrs. Peter Henry (Lillian Jefferys)"
727,1,"Mannion, Miss. Margareth"
728,0,"Bryhl, Mr. Kurt Arnold Gottfrid"
729,0,"Ilmakangas, Miss. Pieta Sofia"
730,1,"Allen, Miss. Elisabeth Walton"
731,0,"Hassan, Mr. Houssein G N"
732,0,"Knight, Mr. Robert J"
733,0,"Berriman, Mr. William John"
734,0,"Troupiansky, Mr. Moses Aaron"
735,0,"Williams, Mr. Leslie"
736,0,"Ford, Mrs. Edward (Margaret Ann Watson)"
737,1,"Lesurer, Mr. Gustave J"
738,0,"Ivanoff, Mr. Kanio"
739,0,"Nankoff, Mr. Minko"
740,1,"Hawksford, Mr. Walter James"
741,0,"Cavendish, Mr. Tyrell William"
742,1,"Ryerson, Miss. Susan Parker ""Suzette"""
743,0,"McNamee, Mr. Neal"
744,1,"Stranden, Mr. Juho"
745,0,"Crosby, Capt. Edward Gifford"
746,0,"Abbott, Mr. Rossmore Edward"
747,1,"Sinkkonen, Miss. Anna"
748,0,"Marvin, Mr. Daniel Warner"
749,0,"Connaghton, Mr. Michael"
750,1,"Wells, Miss. Joan"
751,1,"Moor, Master. Meier"
752,0,"Vande Velde, Mr. Johannes Joseph"
753,0,"Jonkoff, Mr. Lalio"
754,1,"Herman, Mrs. Samuel (Jane Laver)"
755,1,"Hamalainen, Master. Viljo"
756,0,"Carlsson, Mr. August Sigfrid"
757,0,"Bailey, Mr. Percy Andrew"
758,0,"Theobald, Mr. Thomas Leonard"
759,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)"
760,0,"Garfirth, Mr. John"
761,0,"Nirva, Mr. Iisakki Antino Aijo"
762,1,"Barah, Mr. Hanna Assi"
763,1,"Carter, Mrs. William Ernest (Lucile Polk)"
764,0,"Eklund, Mr. Hans Linus"
765,1,"Hogeboom, Mrs. John C (Anna Andrews)"
766,0,"Brewe, Dr. Arthur Jackson"
767,0,"Mangan, Miss. Mary"
768,0,"Moran, Mr. Daniel J"
769,0,"Gronnestad, Mr. Daniel Danielsen"
770,0,"Lievens, Mr. Rene Aime"
771,0,"Jensen, Mr. Niels Peder"
772,0,"Mack, Mrs. (Mary)"
773,0,"Elias, Mr. Dibo"
774,1,"Hocking, Mrs. Elizabeth (Eliza Needs)"
775,0,"Myhrman, Mr. Pehr Fabian Oliver Malkolm"
776,0,"Tobin, Mr. Roger"
777,1,"Emanuel, Miss. Virginia Ethel"
778,0,"Kilgannon, Mr. Thomas J"
779,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)"
780,1,"Ayoub, Miss. Banoura"
781,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)"
782,0,"Long, Mr. Milton Clyde"
783,0,"Johnston, Mr. Andrew G"
784,0,"Ali, Mr. William"
785,0,"Harmer, Mr. Abraham (David Lishin)"
786,1,"Sjoblom, Miss. Anna Sofia"
787,0,"Rice, Master. George Hugh"
788,1,"Dean, Master. Bertram Vere"
789,0,"Guggenheim, Mr. Benjamin"
790,0,"Keane, Mr. Andrew ""Andy"""
791,0,"Gaskell, Mr. Alfred"
792,0,"Sage, Miss. Stella Anna"
793,0,"Hoyt, Mr. William Fisher"
794,0,"Dantcheff, Mr. Ristiu"
795,0,"Otter, Mr. Richard"
796,1,"Leader, Dr. Alice (Farnham)"
797,1,"Osman, Mrs. Mara"
798,0,"Ibrahim Shawah, Mr. Yousseff"
799,0,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)"
800,0,"Ponesell, Mr. Martin"
801,1,"Collyer, Mrs. Harvey (Charlotte Annie Tate)"
802,1,"Carter, Master. William Thornton II"
803,1,"Thomas, Master. Assad Alexander"
804,1,"Hedman, Mr. Oskar Arvid"
805,0,"Johansson, Mr. Karl Johan"
806,0,"Andrews, Mr. Thomas Jr"
807,0,"Pettersson, Miss. Ellen Natalia"
808,0,"Meyer, Mr. August"
809,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)"
810,0,"Alexander, Mr. William"
811,0,"Lester, Mr. James"
812,0,"Slemen, Mr. Richard James"
813,0,"Andersson, Miss. Ebba Iris Alfrida"
814,0,"Tomlin, Mr. Ernest Portage"
815,0,"Fry, Mr. Richard"
816,0,"Heininen, Miss. Wendla Maria"
817,0,"Mallet, Mr. Albert"
818,0,"Holm, Mr. John Fredrik Alexander"
819,0,"Skoog, Master. Karl Thorsten"
820,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
821,1,"Lulic, Mr. Nikola"
822,0,"Reuchlin, Jonkheer. John George"
823,1,"Moor, Mrs. (Beila)"
824,0,"Panula, Master. Urho Abraham"
825,0,"Flynn, Mr. John"
826,0,"Lam, Mr. Len"
827,1,"Mallet, Master. Andre"
828,1,"McCormack, Mr. Thomas Joseph"
829,1,"Stone, Mrs. George Nelson (Martha Evelyn)"
830,1,"Yasbeck, Mrs. Antoni (Selini Alexander)"
831,1,"Richards, Master. George Sibley"
832,0,"Saad, Mr. Amin"
833,0,"Augustsson, Mr. Albert"
834,0,"Allum, Mr. Owen George"
835,1,"Compton, Miss. Sara Rebecca"
836,0,"Pasic, Mr. Jakob"
837,0,"Sirota, Mr. Maurice"
838,1,"Chip, Mr. Chang"
839,1,"Marechal, Mr. Pierre"
840,0,"Alhomaki, Mr. Ilmari Rudolf"
841,0,"Mudd, Mr. Thomas Charles"
842,1,"Serepeca, Miss. Augusta"
843,0,"Lemberopolous, Mr. Peter L"
844,0,"Culumovic, Mr. Jeso"
845,0,"Abbing, Mr. Anthony"
846,0,"Sage, Mr. Douglas Bullen"
847,0,"Markoff, Mr. Marin"
848,0,"Harper, Rev. John"
849,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)"
850,0,"Andersson, Master. Sigvard Harald Elias"
851,0,"Svensson, Mr. Johan"
852,0,"Boulos, Miss. Nourelain"
853,1,"Lines, Miss. Mary Conover"
854,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)"
855,1,"Aks, Mrs. Sam (Leah Rosen)"
856,1,"Wick, Mrs. George Dennick (Mary Hitchcock)"
857,1,"Daly, Mr. Peter Denis "
858,1,"Baclini, Mrs. Solomon (Latifa Qurban)"
859,0,"Razi, Mr. Raihed"
860,0,"Hansen, Mr. Claus Peter"
861,0,"Giles, Mr. Frederick Edward"
862,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)"
863,0,"Sage, Miss. Dorothy Edith ""Dolly"""
864,0,"Gill, Mr. John William"
865,1,"Bystrom, Mrs. (Karolina)"
866,1,"Duran y More, Miss. Asuncion"
867,0,"Roebling, Mr. Washington Augustus II"
868,0,"van Melkebeke, Mr. Philemon"
869,1,"Johnson, Master. Harold Theodor"
870,0,"Balkic, Mr. Cerin"
871,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
872,0,"Carlsson, Mr. Frans Olof"
873,0,"Vander Cruyssen, Mr. Victor"
874,1,"Abelson, Mrs. Samuel (Hannah Wizosky)"
875,1,"Najib, Miss. Adele Kiamie ""Jane"""
876,0,"Gustafsson, Mr. Alfred Ossian"
877,0,"Petroff, Mr. Nedelio"
878,0,"Laleff, Mr. Kristo"
879,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)"
880,1,"Shelley, Mrs. William (Imanita Parrish Hall)"
881,0,"Markun, Mr. Johann"
882,0,"Dahlberg, Miss. Gerda Ulrika"
883,0,"Banfield, Mr. Frederick James"
884,0,"Sutehall, Mr. Henry Jr"
885,0,"Rice, Mrs. William (Margaret Norton)"
886,0,"Montvila, Rev. Juozas"
887,1,"Graham, Miss. Margaret Edith"
888,0,"Johnston, Miss. Catherine Helen ""Carrie"""
889,1,"Behr, Mr. Karl Howell"
890,0,"Dooley, Mr. Patrick"
